"ID","iso_code","country_code","country_or_subregion","serotype","year","epi_week","total_cases","incidence_rate","laboratory_confirmed","perc_laboratory_confirmed","severe_dengue","SD_D_per_100","deaths","CFR","population_per_1000"
6,"MTQ",474,"Martinique","DEN 1,2,4",2014,4,175,43.21,175,100,0,0,0,0,405
6,"MSR",500,"Montserrat",NA,2014,4,0,0,0,NA,0,NA,0,NA,5
6,"BLM",652,"Saint Barthelemy",NA,2014,4,35,100,14,40,0,0,0,0,35
6,"KNA",659,"Saint Kitts and Nevis",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
6,"LCA",662,"Saint Lucia",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,163
6,"MAF",663,"Saint Martin",NA,2014,4,142,443.75,142,100,1,0.7,0,0,32
6,"VCT",670,"Saint Vincent and the Grenadines",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,103
6,"SXM",534,"Sint Maarten",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
6,"SUR",740,"Suriname",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,544
6,"TTO",780,"Trinidad and Tobago",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344
6,"TCA",796,"Turks and Caicos Islands",NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
6,"VGB",92,"Virgin Islands (UK)",NA,2014,4,13,39.39,0,0,0,0,0,0,33
6,"VIR",850,"Virgin Islands (US)",NA,2014,4,1,0.96,1,100,0,0,0,0,104
6,NA,NA,"Non-Latin Caribbean",NA,2014,NA,556,2.89,431,77.52,1,0.18,0,0,19268
7,NA,NA,"The Americas",NA,2014,NA,60362,6.38,14050,23.28,650,1.08,30,0.05,946328
1,"CAN",124,"Canada",NA,2014,5,0,NA,0,NA,0,NA,0,NA,0
1,"USA",840,"United States of America",NA,2014,5,54,0.02,54,100,0,0,0,0,322583
1,NA,NA,"North America",NA,2014,NA,54,0.02,54,100,0,0,0,0,322583
2,"BLZ",84,"Belize",NA,2014,5,253,74.41,9,3.56,NA,NA,NA,NA,340
2,"CRI",188,"Costa Rica","DEN 1,2,3",2014,5,1025,20.76,NA,NA,NA,NA,0,0,4938
2,"SLV",222,"El Salvador","DEN 1,2,3",2014,5,1785,27.96,536,30.03,7,0.39,0,0,6384
