"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Dengue","Travel-associated cases","Reported cases","N","2008-08","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","DE","Germany",24.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","EU_EEA31","EU/EEA",47.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","EU28","EU",47.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","FI","Finland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","FR","France",14.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","HU","Hungary",1.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","IE","Ireland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","IT","Italy",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","LT","Lithuania",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","LU","Luxembourg",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","LV","Latvia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","MT","Malta",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","PL","Poland",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","RO","Romania",-,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","SE","Sweden",4.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","SI","Slovenia",2.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-08","SK","Slovakia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","AT","Austria",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","BE","Belgium",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","CZ","Czechia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","DE","Germany",31.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","EE","Estonia",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","EL","Greece",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","ES","Spain",0.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","EU_EEA31","EU/EEA",39.000000000,""
"Dengue","Travel-associated cases","Reported cases","N","2008-09","EU28","EU",39.000000000,""
